title,url,category,rank,author,original_price,price,savings_percentage
Word Power Made Easy By Norman Lewis (More than 700 Pages),https://www.amazon.in/Word-Power-Norman-Lewis-Pages/dp/B09LV1KHKV/ref=zg_bs_books_sccl_4/257-5962531-4262019?psc=1,Language Learning & Teaching,#1,Norman Lewis,189.00,97.00,49%
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=zg_bs_books_sccl_5/257-5962531-4262019?psc=1,Self-Help for Happiness,#3,Mark Manson,550.00,227.00,59%
"Man's Search For Meaning: The classic tribute to hope from the Holocaust Frankl, Viktor E",https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_books_sccl_6/257-5962531-4262019?psc=1,"Biographies, Diaries & True Accounts",#1,Viktor E. Frankl,299.00,181.00,39%
Oswaal CBSE Class 10 Social Science Question Bank (2024 Exam),https://www.amazon.in/Oswaal-Class-Social-Science-Question/dp/9356348901/ref=zg_bs_books_sccl_7/257-5962531-4262019?psc=1,None,None,"Oswaal Editorial Board (Author, Contributor)",599.00,500.00,17%
The Power of Your Subconscious Mind,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_books_sccl_8/257-5962531-4262019?psc=1,Theory & Philosophy,#1,Joseph Murphy,199.00,105.00,47%
"Accounting Principles, Industrial Relations & Labour Laws for UPSC EPFO (EO/ AO/ APFC) Exam",https://www.amazon.in/Accounting-Principles-Industrial-Relations-Labour/dp/8196150156/ref=zg_bs_books_sccl_9/257-5962531-4262019?psc=1,None,None,Aman Sharma,249.00,174.00,30%
My First ABC Sticker Book: Exciting Sticker Book With 100 Stickers,https://www.amazon.in/My-First-ABC-Sticker-Book/dp/9388144937/ref=zg_bs_books_sccl_10/257-5962531-4262019?psc=1,Games & Quizzes,#1,Wonder House Books,229.00,149.00,35%
"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colouring with reference guide",https://www.amazon.in/Jumbo-Colouring-Book-Maple-Press/dp/9388304608/ref=zg_bs_books_sccl_11/257-5962531-4262019?psc=1,"Children's Crafts, Hobbies & Practical Interests",#1,Maple Press,125.00,100.00,20%
"BRAIN GAMES FOR CLEVER KIDS [Paperback] Moore, Gareth",https://www.amazon.in/Brain-Games-Clever-Kids-Buster/dp/1780552491/ref=zg_bs_books_sccl_12/257-5962531-4262019?psc=1,Children's Books on Geography & Cultures,#1,Gareth Moore,199.00,159.00,20%
1800+ Reward Stickers - Ideal For Teachers And Parents : Sticker Book With Over 1800 Stickers To Boost The Morale of Kids,https://www.amazon.in/1800-Reward-Stickers-Teachers-Parents/dp/9388810740/ref=zg_bs_books_sccl_13/257-5962531-4262019?psc=1,None,None,Wonder House Books,229.00,149.00,35%
